Loading net-file from 'C:\Users\lendl\Documents\smart_traffic\sumo\25-3-lendl-ver.net.xml' ... done (14ms).
Loading additional-files from '000/../edgedata.add.xml' ... done (5ms).
Loading done.
Simulation version 1.15.0 started with time: 0.00.
Warning: Vehicle 'f_1_5_CAR.6' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=18123.28.
Warning: Vehicle 'f_1_5_CAR.43' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=18568.28.
Warning: Vehicle 'f_1_5_CAR.96' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=19226.30.
Warning: Vehicle 'f_1_5_CAR.168' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=20131.72.
Warning: Vehicle 'f_1_5_CAR.214' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=20742.44.
Warning: Vehicle 'f_1_5_CAR.278' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=21518.74.
Warning: Vehicle 'f_1_6_TAXI.1' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=21954.06.
Warning: Vehicle 'f_2_6_CAR.41' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=22590.00.
Warning: Vehicle 'f_2_6_CAR.54' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=22898.00.
Warning: Vehicle 'f_1_6_CAR.111' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=23180.24.
Warning: Vehicle 'f_2_6_CAR.67' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=23206.00.
Warning: Vehicle 'f_1_6_CAR.122' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=23337.46.
Warning: Vehicle 'f_1_6_CAR.122' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=23337.74.
Warning: Vehicle 'f_2_6_CAR.106' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=24130.00.
Warning: Vehicle 'f_2_6_CAR.119' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=24438.00.
Warning: Vehicle 'f_1_6_CAR.220' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=24698.68.
Warning: Vehicle 'f_2_6_CAR.145' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=25054.00.
Warning: Vehicle 'f_1_7_CAR.92' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=27222.38.
Warning: Vehicle 'f_1_7_CAR.101' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=27383.50.
Warning: Vehicle 'f_2_7_CAR.53' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=27518.00.
Warning: Vehicle 'f_1_7_CAR.141' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=28220.42.
Warning: Vehicle 'f_1_8_CAR.84' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=30073.26.
Warning: Vehicle 'f_1_8_CAR.111' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=30475.54.
Warning: Vehicle 'f_1_8_CAR.216' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=32044.24.
Warning: Vehicle 'f_5_9_TAXI.1' performs emergency braking on lane '1076383725.80_0' with decel=9.00, wished=4.50, severity=1.00, time=33020.00.
