Loading net-file from 'C:\Users\lendl\Documents\smart_traffic\sumo\25-3-lendl-ver.net.xml' ... done (11ms).
Loading additional-files from '000/../edgedata.add.xml' ... done (2ms).
Loading done.
Simulation version 1.15.0 started with time: 0.00.
Warning: Vehicle 'f_2_6_CAR.117' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=24393.00.
Warning: Vehicle 'f_5_7_TAXI.2' performs emergency braking on lane '1076383725.80_0' with decel=9.00, wished=4.50, severity=1.00, time=25936.08.
Warning: Vehicle 'f_1_7_CAR.68' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=26665.34.
Warning: Vehicle 'f_1_8_CAR.35' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=29379.88.
Warning: Vehicle 'f_2_8_CAR.27' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=29937.00.
Warning: Vehicle 'f_1_8_CAR.113' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=30499.88.
Warning: Vehicle 'f_1_9_CAR.3' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=32501.84.
Warning: Vehicle 'f_1_9_CAR.4' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=32512.60.
Warning: Vehicle 'f_1_9_CAR.9' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=32657.64.
Warning: Vehicle 'f_1_9_CAR.10' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=32670.92.
Warning: Vehicle 'f_1_9_CAR.11' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=32680.92.
Warning: Vehicle 'f_1_9_CAR.16' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=32817.74.
Warning: Vehicle 'f_1_9_CAR.17' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=32832.00.
Warning: Vehicle 'f_1_9_TRUCK.2' performs emergency braking on lane ':J7_2_0' with decel=7.00, wished=4.00, severity=1.00, time=32968.04.
Warning: Vehicle 'f_1_9_CAR.23' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=32974.94.
Warning: Vehicle 'f_1_9_CAR.24' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=32985.16.
Warning: Vehicle 'f_1_9_CAR.25' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=32991.82.
Warning: Vehicle 'f_1_9_CAR.29' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33119.44.
Warning: Vehicle 'f_1_9_CAR.30' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33128.76.
Warning: Vehicle 'f_1_9_CAR.31' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33137.20.
Warning: Vehicle 'f_1_9_CAR.36' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33276.88.
Warning: Vehicle 'f_1_9_CAR.37' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33291.06.
Warning: Vehicle 'f_1_9_CAR.38' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33298.52.
Warning: Vehicle 'f_1_9_CAR.39' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33306.02.
Warning: Vehicle 'f_1_9_TAXI.3' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33314.82.
Warning: Vehicle 'f_1_9_CAR.43' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33435.18.
Warning: Vehicle 'f_1_9_CAR.44' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33442.40.
Warning: Vehicle 'f_1_9_CAR.45' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33456.80.
Warning: Vehicle 'f_1_9_CAR.45' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33457.80.
Warning: Vehicle 'f_1_9_CAR.50' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33586.22.
Warning: Vehicle 'f_1_9_CAR.51' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33595.04.
Warning: Vehicle 'f_1_9_CAR.56' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33734.60.
Warning: Vehicle 'f_1_9_CAR.57' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33747.72.
Warning: Vehicle 'f_1_9_CAR.58' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33755.34.
Warning: Vehicle 'f_1_9_CAR.63' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=33891.50.
Warning: Vehicle 'f_1_9_CAR.64' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33900.78.
Warning: Vehicle 'f_1_9_CAR.65' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=33908.04.
Warning: Vehicle 'f_1_9_CAR.70' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34047.76.
Warning: Vehicle 'f_1_9_CAR.71' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34062.32.
Warning: Vehicle 'f_1_9_CAR.72' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34083.46.
Warning: Vehicle 'f_1_9_CAR.79' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34237.50.
Warning: Vehicle 'f_1_9_CAR.84' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=34364.38.
Warning: Vehicle 'f_1_9_CAR.85' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34372.70.
Warning: Vehicle 'f_1_9_CAR.86' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=34378.64.
Warning: Vehicle 'f_1_9_TRUCK.8' performs emergency braking on lane '780157087#0_1' with decel=7.00, wished=4.00, severity=1.00, time=34517.48.
